ФИО;Факультет;Специальность;Число баллов
BFDIKUXYEEYXRHUUQSELCBDATP;UEHTRHZNRPJKYJTJWZNCR;WMPUKEXBUKHOVKKXNBAIASRCANMJF;309
BGUVPEQGBFBKVHBCYJRJXOJTMKCJFQOMTGK;KIZHXMBZSEZNJIBDQLOVRAKUSKSAFMMDBWV;CCUFMFFGTILUJH;309
BKJBLKGXUWUUCKPCLJBWHYLZVQZLATYLPPNMTEJFALSDNXULKRNMWCCP;GOGSSVWSHVFUULTPIIIYVWMMCADJZKV;SZBLQNTFHXNQEGVKBIMAKVMZIKSIKGTWTEALGRZZK;309
CNTXKOSIBUGPUJFHWZMSWSBXFJDKUWVNEHQAMJBJEWMDPY;RCMJLPMFPQBLQICUYSNGSCIVBDARMFTPNOFUASVYUWUYZWBO;WKSFJDIMPVUBXBFCUEITDCZNEE;309
ETNYWMZGBAQIKXIKQZNOIEPNINBLTVBDUWFIHMGMSMEH;PRECJKUYHKFDDQHEJAFMVLRSBEYTUMFBBBVYWJKMWWFFYYP;TXGYZAJAXVLSJZKHQUEKAUUOIXUUOXRXIAMINXJ;309
EYJFXQDHWHVGYJNMOLKALVAAASSVTHZSCLPXOIF;KZNLVHXPESWWEOCXVBHNKXVJEBCVNDLCIQOHNFIWZEMXMEOQJFDSRCB;FJYEPVYWTRCRILJIRAAVYDXSMGARRPYWMZOBVAGAMHSXPFF;309
FEDSGFTPBBBWDAQBPZNWWGPSCQTGYUNRVXCZEZEUGOW;YANBMQZZXNDREBMITVQMGJRELNLRCOYPGGBTEGKWYZKBKEVSERQZUYGKCQW;CQTNYYMIRZEREKLKBIORUCYWAQQEFHPDCLHHDPLSZDRKDYZOFLQZNDI;309
FGMJQINMLQOMDGZEVDOAXGMEJQGEYAX;GVEQTXWYWVVDZMIWBFDGSNTNTHNHWSPGMXMRUQCPVEOUF;GTEEAZRMGNYVEWFUJDUQSOEWDBKXTYQKTLQSOMDYPRYCCWJPIKP;309
FRXEMVUCNBQNSTWWTNPHRNHLFVBYXYDZUPBG;FTPESAOWBQGVVQHVJJUUVHEWAOCCHCQFOZKAHYPDYRLKQCTXBHHDWW;DAQBMFNSIUOQ;309
FYTKFRBRXBFBZDXUCSCLBQNZKRYNVYAXXLYVS;DTNHLBRARSOHTXPIQOPQHKPAERTYTEHHAJAO;LAYTDQWMHRKCOSTYLENMATNBMFGHUGNWTEKJDEUGYCRYI;309
GFDJQXEJGFPNBLB;YISSIPOVNOZYWNANBXNQTEVFBPIWDMECFOGTBDDPTQIKFFGJMJRVID;HBNWAUGZHPLPCXKROJACIVRLXNQHAGE;309
GIFOCHHPKRJOT;LYRUADWRQLGOAUZUEJBAJ;XMPBEBIAQOIYEXXALXVOEUTNIYZODWZOZ;309
GYEDJZIOTDMMMQHYBAPI;FXYWVWTZMSIUVFYUAJCCKUUIETOLQMXXBDOTGRVNJZWKSKMSHLMHCJDARHC;JOVKTCGJDFRUXMRXLCJFFUKXWPJGECRXSEEFTIRBIOFAPNNATY;309
GYESTPITMTZW;JSUHDVBKZSNXZLHY;NMAVKTTICEIJFYEIRMIEAAIID;309
HLIHRHMIHXRHZYBVRWOORKP;YJLHAWGORRAKGCPKFVYOZUM;OURZISOVGLQIQPKYAFFYHOREJPFMJVMUGNUNFS;309
HMXCHPXBLUPPCBZSZNDJHNMJZVMSJNCTATCORWZBRUSTU;UIASINZULC;TAWYYPGDDIMOHHTLFZIBNPUBGJVRYSJQQBKVXJDMGWJNYVH;309
IOBHMDLMMZDWOQXKODWV;MBLNRRMAXWDCDADEQIMUQAHOBCJAOJRTWUEOCCNJK;CROIZLWVHIDWHRZEFWTJVORKIJCMHFPEBEZDFNGBZYQHCTMRPJJLS;309
IRVWTEDHCGXR;XZAVRUSWIJFASEVNNFJLHNWANEJTGZFZIRTKUZADEG;NEUCRSXGWLKJMPDCRVHNUWXSNLLNOMMDEMBBTPCYKTOADHUFE;309
ISODWQIKMHOFCYYYIMVVPRQWXBCXQPGKXRMJHHCRVJHGAVLKXUXKACEDU;MPVDZZTVIQLWCTOPMECLJGWIJBJQUVWUPOLMMKZONWJJYE;KRWAZXCCWFJTFUQUBNV;309
JKGVXIPWKNJDCXNAXZNSGKAZVMHAZAVBLUEEQHYLJYPKJWZEAGFZS;QORQPEBWEZMKGWVKCHWZYLIBZJRILLXPVWMWCVDSPQSYOXBTOOSIUXVS;ZPARHYNTWYSGCSHJ;309
